720x1280
Reading,Input,Converting,Output&Write(convert torch tensor to numpy & write to file)
9799.480438,44219.493866,10179.042816,250584.125519
8761.167526,38598.060608,760.078430,249126.195908
8732.318878,28596.878052,762.701035,245462.417603
8240.222931,28368.711472,769.615173,243353.605270
8503.198624,28407.812119,760.555267,245604.276657
8641.481400,28468.370438,795.841217,245519.399643
8768.558502,29134.988785,760.793686,246047.735214
8802.413940,28862.714767,792.264938,247308.731079
8836.984634,28958.797455,761.747360,245477.199554
8936.643600,29507.398605,805.377960,246851.444244
8869.886398,28686.046600,742.435455,245566.844940
8880.376816,28786.182404,758.647919,244098.901749
8980.274200,28898.239136,793.695450,247668.743134
8860.826492,28725.624084,747.442245,244043.588638
9086.608887,29173.374176,759.363174,244105.339050
8572.578430,28414.249420,744.104385,245151.519775
8836.507797,28838.396072,758.409500,243693.828583
8956.193924,28744.935989,765.085220,242843.151093
8934.259415,29116.392136,758.171082,246708.154678
8967.876434,28821.706772,745.058060,244039.297104
8989.810944,28802.871704,742.435455,245401.144028
9012.460709,29003.143311,777.482986,245912.790298
8995.056152,28795.957565,759.124756,244233.846664
8969.306946,28945.446014,779.628754,246331.930161
9167.194366,28963.565826,741.004944,244556.903839
9231.328964,29049.158096,766.992569,244328.022003
9113.550186,29079.675674,778.913498,246738.910675
8725.166321,28959.989548,740.766525,244422.674179
8803.606033,29013.633728,760.555267,244875.669479
8740.425110,28725.147247,743.389130,246761.083603
8879.184723,28664.588928,739.812851,244387.865067
8972.406387,29194.593430,759.601593,245200.395584
8895.158768,28750.658035,764.369965,244573.116302
8854.389191,29036.760330,782.251358,250662.088394
8768.796921,28799.772263,761.270523,247754.812241
8788.585663,28693.914413,744.104385,245791.673660
8791.208267,28969.764709,776.052475,245609.760284
9102.821350,29478.788376,781.059265,248020.887375
8798.599243,28903.245926,812.530518,243451.118469
